Country,Year,Total_weight_kg,availability_of_metro,lines,stations,annual_ridership_mill,Population_eating_chocolate,Cost_kg_USD,Urban_population,Lifetime,GDP_USD,Inflation,kg_per_person,kg_per_GDP
Albania,1996,273411.0,No,,,,1557925.0,6.214,39.473,74.113,985.82,12.7254778087103,0.1755,277.3437
Albania,1997,222897.0,No,,,,1550237.0,6.214,40.035,73.383,688.82,33.1802743753956,0.1438,323.5925
Albania,1998,243309.0,No,,,,1540864.0,6.214,40.601,74.357,795.88,20.6428588670596,0.1579,305.7107
Albania,1999,420293.0,No,,,,1530526.0,6.214,41.169,74.568,1010.37,0.389437653561617,0.2746,415.9793
Albania,2000,303615.0,No,,,,1519751.0,6.214,41.741,74.826,1101.52,0.0500181363468309,0.1998,275.6328
Albania,2001,479065.0,No,,,,1511013.0,6.214,42.435,75.083,1247.45,3.10758827031434,0.317,384.0354
Albania,2002,1086199.0,No,,,,1504364.0,6.214,43.501,75.299,1389.83,7.77052583431552,0.722,781.5337
Albania,2003,590571.0,No,,,,1496682.0,6.214,44.573,75.557,1783.61,0.48400261181847,0.3946,331.1099
Albania,2004,799633.0,No,,,,1487355.0,6.214,45.651,75.951,2316.17,2.28001916938101,0.5376,345.2393
Albania,2005,855813.0,No,,,,1476556.0,6.214,46.731,76.427,2617.58,2.36658195679796,0.5796,326.9482
Albania,2006,946516.0,No,,,,1464388.0,6.214,47.815,76.994,2915.97,2.37072831904282,0.6464,324.5973
Albania,2007,828981.0,No,,,,1450986.0,6.214,48.902,77.691,3532.16,2.93268248162323,0.5713,234.6952
Albania,2008,702131.0,No,,,,1436606.0,6.214,49.991,78.248,4303.93,3.32087090389264,0.4887,163.1372
Albania,2009,613354.0,No,,,,1421510.0,6.214,51.076,78.509,4066.96,2.26692209450831,0.4315,150.8139
Albania,2010,814197.0,No,,,,1405787.0,6.214,52.163,78.414,4072.38,3.62604695579816,0.5792,199.9315
