Country,Year,Total_weight_kg,availability_of_metro,lines,stations,annual_ridership_mill,Population_eating_chocolate,Cost_kg_USD,Urban_population,Lifetime,GDP_USD,Inflation,kg_per_person,kg_per_GDP
Albania,1996,273411.0,No,,,,1557925.0,6.2,39.473,74.113,985.82,12.725478,0.18,277.34
Albania,1997,222897.0,No,,,,1550237.0,6.2,40.035,73.383,688.82,33.180275,0.14,323.59
Albania,1998,243309.0,No,,,,1540864.0,6.2,40.601,74.357,795.88,20.642859,0.16,305.71
Albania,1999,420293.0,No,,,,1530526.0,6.2,41.169,74.568,1010.37,0.38943765,0.27,415.98
Albania,2000,303615.0,No,,,,1519751.0,6.2,41.741,74.826,1101.52,0.050018135,0.2,275.63
Albania,2001,479065.0,No,,,,1511013.0,6.2,42.435,75.083,1247.45,3.1075883,0.32,384.04
Albania,2002,1086199.0,No,,,,1504364.0,6.2,43.501,75.299,1389.83,7.770526,0.72,781.53
Albania,2003,590571.0,No,,,,1496682.0,6.2,44.573,75.557,1783.61,0.48400262,0.39,331.11
Albania,2004,799633.0,No,,,,1487355.0,6.2,45.651,75.951,2316.17,2.2800193,0.54,345.24
Albania,2005,855813.0,No,,,,1476556.0,6.2,46.731,76.427,2617.58,2.366582,0.58,326.95
Albania,2006,946516.0,No,,,,1464388.0,6.2,47.815,76.994,2915.97,2.3707283,0.65,324.6
Albania,2007,828981.0,No,,,,1450986.0,6.2,48.902,77.691,3532.16,2.9326825,0.57,234.7
Albania,2008,702131.0,No,,,,1436606.0,6.2,49.991,78.248,4303.93,3.3208709,0.49,163.14
Albania,2009,613354.0,No,,,,1421510.0,6.2,51.076,78.509,4066.96,2.266922,0.43,150.81
Albania,2010,814197.0,No,,,,1405787.0,6.2,52.163,78.414,4072.38,3.626047,0.58,199.93
Albania,2011,846461.0,No,,,,1397522.0,6.2,53.247,78.303,4427.51,3.4291232,0.61,191.18
Albania,2012,785923.0,No,,,,1396802.0,6.2,54.33,78.084,4233.61,2.0315926,0.56,185.64
Albania,2013,1040476.0,No,,,,1395635.0,6.2,55.387,77.995,4394.11,1.9376208,0.75,236.79
Albania,2014,1244597.0,No,,,,1393800.0,6.2,56.423,78.029,4555.52,1.6258651,0.89,273.21
Albania,2015,1426091.0,No,,,,1391343.0,6.2,57.434,78.358,3928.36,1.8961741,1.02,363.02
Albania,2016,1537674.0,No,,,,1390976.0,6.2,58.421,78.643,4093.08,1.2754316,1.11,375.68
Algeria,1996,4361655.0,No,,,,10161565.0,8.5,56.774,68.219,1613.21,18.679075,0.43,2703.71
Algeria,1997,1448022.0,No,,,,10352755.0,8.5,57.544,68.859,1625.07,5.733523,0.14,891.05
Algeria,1998,224693.0,No,,,,10518947.0,8.5,58.313,69.327,1599.75,4.9501615,0.02,140.46
Algeria,1999,83888.0,No,,,,10666024.0,8.5,59.118,70.088,1592.52,2.6455112,0.01,52.68
Algeria,2000,2517.0,No,,,,10816363.0,8.5,59.919,70.576,1768.93,0.33916318,0.0,1.42
Algeria,2001,302260.0,No,,,,10965928.0,8.5,60.712,71.025,1757.25,4.2259884,0.03,172.01
Algeria,2002,1756167.0,No,,,,11112792.0,8.5,61.501,71.644,1789.53,1.4183019,0.16,981.36
Algeria,2003,2366023.0,No,,,,11261536.0,8.5,62.284,71.906,2109.16,4.268954,0.21,1121.78
Algeria,2004,4000558.0,No,,,,11419900.0,8.5,63.061,72.536,2615.29,3.9618003,0.35,1529.68
Algeria,2005,3915318.0,No,,,,11588237.0,8.5,63.83,72.836,3116.9,1.3824465,0.34,1256.16
Algeria,2006,5792887.0,No,,,,11768227.0,8.5,64.593,73.116,3480.52,2.311499,0.49,1664.37
Algeria,2007,9146161.0,No,,,,11966296.0,8.5,65.348,73.346,3947.92,3.6789958,0.76,2316.7
Algeria,2008,10106897.0,No,,,,12185936.0,8.5,66.097,73.618,4911.42,4.8585906,0.83,2057.84
Algeria,2009,13183364.0,No,,,,12421656.0,8.5,66.826,73.871,3866.14,5.7370605,1.06,3409.96
Algeria,2010,16741258.0,No,,,,12665883.0,8.5,67.54,74.144,4454.69,3.911062,1.32,3758.12
Algeria,2011,19211048.0,Yes,1.0,19.0,2.4,12916182.0,8.5,68.236,74.383,5420.08,4.5242114,1.49,3544.42
Algeria,2012,14387606.0,Yes,1.0,19.0,2.4,13176158.0,8.5,68.915,74.609,5553.26,8.891451,1.09,2590.84
Algeria,2013,15316035.0,Yes,1.0,19.0,2.4,13444960.0,8.5,69.576,74.809,5460.35,3.254239,1.14,2804.95
Algeria,2014,16965132.0,Yes,1.0,19.0,2.4,13721761.0,8.5,70.221,74.992,5453.64,2.9169269,1.24,3110.79
Algeria,2015,10983088.0,Yes,1.0,19.0,2.4,14006835.0,8.5,70.848,75.159,4147.45,4.784447,0.78,2648.15
Algeria,2016,10542453.0,Yes,1.0,19.0,2.4,14297752.0,8.5,71.459,75.31,3917.54,6.3976946,0.74,2691.09
Angola,2007,3654953.0,No,,,,6441354.0,8.8,57.524,54.2,3141.05,12.251497,0.57,1163.61
Angola,2009,1693669.0,No,,,,6948580.0,8.8,59.034,56.225,3136.65,13.730284,0.24,539.96
Angola,2010,1072636.0,No,,,,7221396.0,8.8,59.783,57.242,3597.34,14.469657,0.15,298.17
Angola,2011,6355242.0,No,,,,7507689.0,8.8,60.528,58.093,4615.91,13.482468,0.85,1376.81
Angola,2012,4212445.0,No,,,,7804992.0,8.8,61.268,58.916,5086.03,10.2779045,0.54,828.24
Angola,2013,7986548.0,No,,,,8111342.0,8.8,62.002,59.705,5224.79,8.777814,0.98,1528.59
Angola,2014,9954197.0,No,,,,8419838.0,8.8,62.731,60.396,5364.8,7.2803874,1.18,1855.46
Angola,2015,2009115.0,No,,,,8728917.0,8.8,63.446,61.042,4126.52,9.355972,0.23,486.88
Antigua and Barbuda,1999,13038.0,No,,,,50093.0,8.6,32.49,74.456,10400.93,1.121288,0.26,1.25
Antigua and Barbuda,2000,3448.0,No,,,,50940.0,8.6,32.127,74.819,10463.44,0.7717798,0.07,0.33
Antigua and Barbuda,2005,6901.0,No,,,,54135.0,8.6,29.218,75.364,12749.34,2.098752,0.13,0.54
Antigua and Barbuda,2006,12210.0,No,,,,54811.0,8.6,28.606,75.506,14255.2,1.7877854,0.22,0.86
Antigua and Barbuda,2007,7854.0,No,,,,55559.0,8.6,28.002,75.72,16324.47,1.4160526,0.14,0.48
Antigua and Barbuda,2009,18672.0,No,,,,57238.0,8.6,26.818,76.386,15673.55,-0.55016,0.33,1.19
Antigua and Barbuda,2010,8468.0,No,,,,58018.0,8.6,26.238,76.701,14808.81,3.3700254,0.15,0.57
Antigua and Barbuda,2011,7949.0,No,,,,58706.0,8.6,25.703,77.023,14843.64,3.4567497,0.14,0.54
Antigua and Barbuda,2012,5456.0,No,,,,59337.0,8.6,25.526,77.1,15207.85,3.3768804,0.09,0.36
Antigua and Barbuda,2013,8030.0,No,,,,59884.0,8.6,25.35,77.05,15052.1,1.0594978,0.13,0.53
Antigua and Barbuda,2014,11315.0,No,,,,60360.0,8.6,25.175,76.912,15534.15,1.0894415,0.19,0.73
Antigua and Barbuda,2015,7724.0,No,,,,60798.0,8.6,25.0,76.892,16080.91,0.9689935,0.13,0.48
Antigua and Barbuda,2016,13878.0,No,,,,61179.0,8.6,24.846,76.968,16557.14,-0.4894378,0.23,0.84
Argentina,1996,1930086.0,Yes,7.0,104.0,1.3,23083964.0,5.9,88.366,73.056,8307.5,13.855469,0.08,232.33
Argentina,1997,1817286.0,Yes,7.0,104.0,1.3,23366064.0,5.9,88.564,73.407,8833.16,21.103596,0.08,205.73
Argentina,1998,1611729.0,Yes,7.0,104.0,1.3,23642360.0,5.9,88.759,73.412,8911.45,7.704312,0.07,180.86
Argentina,1999,1453098.0,Yes,7.0,104.0,1.3,23916544.0,5.9,88.952,73.683,8354.74,8.2783165,0.06,173.92
Argentina,2000,2110114.0,Yes,7.0,104.0,1.3,24189090.0,5.9,89.142,73.91,8280.44,8.311911,0.09,254.83
Argentina,2001,4291240.0,Yes,7.0,104.0,1.3,24456136.0,5.9,89.329,74.154,7743.15,6.5583234,0.18,554.2
Argentina,2002,1235971.0,Yes,7.0,104.0,1.3,24719076.0,5.9,89.51,74.312,2907.85,4.632509,0.05,425.05
Argentina,2003,2422105.0,Yes,7.0,104.0,1.3,24975784.0,5.9,89.686,74.307,3655.09,4.6682124,0.1,662.67
Argentina,2004,2520391.0,Yes,7.0,104.0,1.3,25230344.0,5.9,89.86,74.871,4275.25,4.696439,0.1,589.53
Argentina,2005,3173803.0,Yes,7.0,104.0,1.3,25490912.0,5.9,90.031,75.231,5115.72,5.3612742,0.12,620.4
Argentina,2006,3539772.0,Yes,7.0,104.0,1.3,25754376.0,5.9,90.2,75.279,5915.67,5.277089,0.14,598.37
Argentina,2007,2640055.0,Yes,7.0,104.0,1.3,26010896.0,5.9,90.366,74.783,7240.84,5.5264106,0.1,364.61
Argentina,2008,3749980.0,Yes,7.0,104.0,1.3,26275696.0,5.9,90.53,75.428,9045.2,10.096515,0.14,414.58
Argentina,2009,2456501.0,Yes,7.0,104.0,1.3,26555640.0,5.9,90.691,75.577,8233.04,3.8669708,0.09,298.37
Argentina,2010,3065570.0,Yes,7.0,104.0,1.3,26837652.0,5.9,90.849,75.68,10329.4,4.1140766,0.11,296.78
Argentina,2011,3821882.0,Yes,7.0,104.0,1.3,27124928.0,5.9,90.99,76.1,12704.28,6.083738,0.14,300.83
Argentina,2012,4195222.0,Yes,7.0,104.0,1.3,27405120.0,5.9,91.121,75.802,13790.49,5.1786447,0.15,304.21
Argentina,2013,5112809.0,Yes,7.0,104.0,1.3,27678596.0,5.9,91.249,75.829,14403.02,3.66083,0.18,354.98
Argentina,2014,4538709.0,Yes,7.0,104.0,1.3,27965648.0,5.9,91.377,76.268,13179.83,3.0442796,0.16,344.37
Argentina,2015,3048249.0,Yes,7.0,104.0,1.3,28260058.0,5.9,91.503,76.6,14833.2,2.8838296,0.11,205.5
Argentina,2016,4183065.0,Yes,7.0,104.0,1.3,28535204.0,5.9,91.627,76.105,12699.96,2.6231241,0.15,329.38
Armenia,1997,144574.0,Yes,1.0,10.0,0.8,1882848.0,6.5,65.504,69.39383,538.31,13.960764,0.08,268.57
Armenia,1999,421352.0,Yes,1.0,10.0,0.8,1837026.0,6.5,64.947,70.19895,621.37,0.64824575,0.23,678.1
