Country,Year,total_weight_kg,availability_of_metro,lines,stations,annual_ridership_mill,Population,GDP,kg_per_person,kg_per_GDP
Albania,1996,1237027.0,No,,,,3245678,985.82,0.38,1254.82
Algeria,1996,8657602.0,Yes,1,19,2.4,29033044,1613.21,0.3,5366.69
Andorra,1996,1743945.0,No,,,,63984,24205.86,27.26,72.05
Argentina,1996,7407618.0,Yes,7,104,1.3,35513793,8307.5,0.21,891.68
Australia,1996,18209944.0,No,,,,18305307,23797.56,0.99,765.2
Austria,1996,47966544.0,Yes,5,109,5.51,7960914,29640.61,6.03,1618.27
Azerbaijan,1996,6449378.0,Yes,3,26,1.89,7830982,405.64,0.82,15899.27
Bangladesh,1996,776856.0,No,,,,124862179,318.72,0.01,2437.42
Belgium-Luxembourg,1996,72616812.0,No,,,,10570746,,6.87,
Belize,1996,116626.0,No,,,,210310,3889.97,0.55,29.98
Bolivia (Plurinational State of),1996,1364344.0,No,,,,8021736,922.11,0.17,1479.59
Brazil,1996,29938164.0,Yes,19,246,3.44,164202549,5179.13,0.18,5780.54
Bulgaria,1996,5060462.0,Yes,4,47,1.79,8291397,1482.86,0.61,3412.64
Burkina Faso,1996,32176.0,No,,,,10655942,275.81,0.0,116.66
Burundi,1996,4110.0,No,,,,6070506,143.14,0.0,28.71
Cameroon,1996,104724.0,No,,,,13414757,826.97,0.01,126.64
Canada,1996,84318858.0,Yes,11,196,1.78,29767206,21184.32,2.83,3980.25
Central African Republic,1996,9904.0,No,,,,3435965,306.88,0.0,32.27
Chile,1996,3360991.0,Yes,7,136,1.88,14734046,5332.89,0.23,630.24
China,1996,4247605.0,Yes,249,5375,2.1,1259363581,701.7,0.0,6053.31
"China, Hong Kong SAR",1996,17393918.0,No,,,,6302464,25342.18,2.76,686.36
"China, Macao SAR",1996,751968.0,No,,,,407029,17632.41,1.85,42.65
Colombia,1996,1460555.0,Yes,2,27,3.68,36462745,3156.34,0.04,462.74
Comoros,1996,17796.0,No,,,,499107,962.31,0.04,18.49
Costa Rica,1996,5672111.0,No,,,,3619013,3227.29,1.57,1757.55
Croatia,1996,2974812.0,No,,,,4562299,5262.32,0.65,565.3
Cyprus,1996,1255709.0,No,,,,880290,11249.67,1.43,111.62
Czechia,1996,19494632.0,No,,,,10296128,6585.47,1.89,2960.25
Côte d'Ivoire,1996,175747.0,No,,,,15442312,786.1,0.01,223.57
Denmark,1996,32028812.0,Yes,4,39,1.66,5263068,35622.2,6.09,899.13
Dominica,1996,51757.0,No,,,,69410,4211.0,0.75,12.29
Ecuador,1996,833209.0,No,,,,11810950,2099.49,0.07,396.86
Egypt,1996,378026.0,Yes,3,74,0.0,67028047,1103.44,0.01,342.59
El Salvador,1996,1223635.0,No,,,,5805286,1651.31,0.21,741.01
Estonia,1996,4370172.0,No,,,,1434651,3333.99,3.05,1310.79
Faroe Islands,1996,324134.0,No,,,,44177,,7.34,
Finland,1996,7739858.0,Yes,2,25,1.72,5124717,25756.63,1.51,300.5
Fmr Sudan,1996,20339.0,No,,,,,,,
France,1996,247168008.0,Yes,27,488,3.7,58380642,27388.85,4.23,9024.4
French Polynesia,1996,670032.0,No,,,,225489,18893.84,2.97,35.46
Gabon,1996,127251.0,No,,,,1152015,5501.18,0.11,23.13
Gambia,1996,18031.0,No,,,,1301410,1083.22,0.01,16.65
Georgia,1996,2888564.0,Yes,2,23,2.57,4812775,669.6,0.6,4313.86
Germany,1996,231435048.0,Yes,24,413,3.59,82263189,30471.05,2.81,7595.24
Ghana,1996,101305.0,No,,,,17810181,825.76,0.01,122.68
Greece,1996,13363511.0,Yes,3,68,2.92,10570080,13481.41,1.26,991.25
Greenland,1996,150249.0,No,,,,55999,23368.07,2.68,6.43
Grenada,1996,52133.0,No,,,,104584,2852.76,0.5,18.27
Guatemala,1996,1590451.0,No,,,,10583526,1308.34,0.15,1215.63
Guinea,1996,112806.0,No,,,,7770035,708.4,0.01,159.24
Honduras,1996,593711.0,No,,,,5903954,824.52,0.1,720.07
Hungary,1996,12478838.0,Yes,4,48,6.09,10302235,4545.98,1.21,2745.03
Iceland,1996,1198129.0,No,,,,268960,27610.36,4.45,43.39
India,1996,39335.0,Yes,31,585,3.7,979678458,401.81,0.0,97.89
Indonesia,1996,2387732.0,No,,,,203204347,1308.93,0.01,1824.19
Ireland,1996,28290747.0,No,,,,3638509,20829.59,7.78,1358.2
Israel,1996,2229000.0,No,,,,5499551,20943.78,0.41,106.43
Italy,1996,51364660.0,Yes,13,263,3.73,57162092,23001.84,0.9,2233.07
Jamaica,1996,726837.0,No,,,,2524463,2928.9,0.29,248.16
Japan,1996,127318541.0,Yes,45,747,8.19,125975302,39082.21,1.01,3257.71
Kiribati,1996,1554.0,No,,,,82623,985.89,0.02,1.58
Kyrgyzstan,1996,1249692.0,No,,,,4782882,381.93,0.26,3272.04
Latvia,1996,1148165.0,No,,,,2457905,2359.37,0.47,486.64
Lithuania,1996,4974757.0,No,,,,3599711,2341.95,1.38,2124.19
Madagascar,1996,44069.0,No,,,,14510711,319.62,0.0,137.88
Malaysia,1996,3829807.0,Yes,7,104,0.79,20850087,4836.9,0.18,791.79
Maldives,1996,151293.0,No,,,,262347,2436.89,0.58,62.08
Mali,1996,13876.0,No,,,,10407278,302.45,0.0,45.88
Malta,1996,2589999.0,No,,,,387624,9861.33,6.68,262.64
Mauritius,1996,976070.0,No,,,,1172383,3986.55,0.83,244.84
Mexico,1996,33597131.0,Yes,18,283,4.37,92452702,4674.37,0.36,7187.52
Mongolia,1996,420322.0,No,,,,2363465,694.87,0.18,604.89
Morocco,1996,944601.0,No,,,,26808107,1604.64,0.04,588.67
Netherlands (Kingdom of the),1996,80388409.0,No,,,,15640027,28859.08,5.14,2785.55
New Zealand,1996,6859276.0,No,,,,3729378,18633.8,1.84,368.11
Nicaragua,1996,845659.0,No,,,,4729974,907.77,0.18,931.58
Niger,1996,13651.0,No,,,,10044852,259.16,0.0,52.67
Nigeria,1996,345393.0,No,,,,113754779,471.05,0.0,733.24
North Macedonia,1996,1591747.0,No,,,,2012553,2306.52,0.79,690.11
Norway,1996,16546254.0,Yes,5,101,0.87,4381135,37323.64,3.78,443.32
Oman,1996,4928487.0,No,,,,2156926,7602.62,2.28,648.26
Panama,1996,1736243.0,Yes,2,29,1.38,2780227,3407.07,0.62,509.6
Paraguay,1996,2370243.0,No,,,,4687543,2417.14,0.51,980.6
Peru,1996,3339963.0,Yes,1,26,3.19,24811171,2227.79,0.13,1499.23
Philippines,1996,5441194.0,Yes,3,46,5.82,72190242,1311.09,0.08,4150.13
Poland,1996,21007159.0,Yes,2,34,5.5,38359171,4192.3,0.55,5010.89
Portugal,1996,16505606.0,Yes,4,56,1.93,10067649,12181.18,1.64,1355.01
Republic of Korea,1996,23002510.0,No,,,,45638700,13830.23,0.5,1663.21
Republic of Moldova,1996,322788.0,No,,,,4387655,463.22,0.07,696.84
Romania,1996,11059392.0,Yes,5,62,2.28,22541910,1637.95,0.49,6751.97
Russian Federation,1996,92091419.0,No,,,,148084583,2666.59,0.62,34535.28
Rwanda,1996,11049.0,No,,,,6708764,207.1,0.0,53.35
Saint Kitts and Nevis,1996,44399.0,No,,,,42877,7788.43,1.04,5.7
Saint Lucia,1996,107412.0,No,,,,150436,5228.04,0.71,20.55
Saudi Arabia,1996,64490501.0,No,,,,13831009,11456.2,4.66,5629.31
Senegal,1996,231473.0,No,,,,9067014,722.92,0.03,320.19
Serbia and Montenegro,1996,8532351.0,No,,,,8440341,,1.01,
Seychelles,1996,105113.0,No,,,,78882,7650.0,1.33,13.74
Singapore,1996,7913367.0,Yes,8,187,3.41,3664560,26276.85,2.16,301.15
Slovakia,1996,12927249.0,No,,,,5362428,4077.45,2.41,3170.42
Slovenia,1996,7019239.0,No,,,,1986793,10805.46,3.53,649.6
So. African Customs Union,1996,2516202.0,No,,,,,,,
Spain,1996,40103322.0,Yes,28,539,1.43,40237372,15962.58,1.0,2512.33
Suriname,1996,487942.0,No,,,,438830,2400.27,1.11,203.29
Sweden,1996,24242111.0,Yes,7,100,3.1,8840327,33025.29,2.74,734.05
Switzerland,1996,13913198.0,Yes,2,48,5.55,7071883,48092.03,1.97,289.3
Thailand,1996,2776223.0,Yes,4,114,2.38,59920064,3054.66,0.05,908.85
Togo,1996,80278.0,No,,,,4577860,397.03,0.02,202.2
Trinidad and Tobago,1996,601498.0,No,,,,1300928,4673.31,0.46,128.71
Tunisia,1996,411426.0,No,,,,9294432,2313.69,0.04,177.82
Türkiye,1996,2373202.0,No,,,,61951134,4035.19,0.04,588.13
USA,1996,172662790.0,No,,,,,29805.44,,5793.0
Uganda,1996,120074.0,No,,,,21231550,341.19,0.01,351.93
Ukraine,1996,5813720.0,Yes,7,88,3.64,51226108,900.83,0.11,6453.74
United Kingdom of Great Britain and Northern Ireland,1996,148198430.0,No,,,,58298565,24352.89,2.54,6085.46
United Republic of Tanzania,1996,431476.0,No,,,,30945762,295.31,0.01,1461.1
Uruguay,1996,3511524.0,No,,,,3206324,7066.38,1.1,496.93
Venezuela (Bolivarian Republic of),1996,1800382.0,No,,,,22662113,3011.94,0.08,597.75
Zambia,1996,0.0,No,,,,9004053,399.51,0.0,0.0
Albania,1997,609996.0,No,,,,3229660,688.82,0.19,885.57
Algeria,1997,6185746.0,Yes,1,19,2.4,29579301,1625.07,0.21,3806.45
Andorra,1997,1409331.0,No,,,,64700,23089.84,21.78,61.04
Argentina,1997,7534697.0,Yes,7,104,1.3,35947791,8833.16,0.21,853.0
Armenia,1997,1145493.0,Yes,1,10,0.8,3246289,538.31,0.35,2127.94
Australia,1997,21414957.0,No,,,,18504912,23632.8,1.16,906.15
Austria,1997,42839288.0,Yes,5,109,5.51,7969803,26565.37,5.38,1612.6
Azerbaijan,1997,1814303.0,Yes,3,26,1.89,7936221,499.27,0.23,3633.91
Bahamas,1997,697635.0,No,,,,310904,20367.73,2.24,34.25
Bangladesh,1997,461722.0,No,,,,127198069,323.66,0.0,1426.56
Barbados,1997,601974.0,No,,,,262392,9866.31,2.29,61.01
Belgium-Luxembourg,1997,83781244.0,No,,,,10600433,,7.9,
Belize,1997,168140.0,No,,,,217446,3838.1,0.77,43.81
Bermuda,1997,0.0,No,,,,60177,48734.83,0.0,0.0
Bolivia (Plurinational State of),1997,1464493.0,No,,,,8167900,970.35,0.18,1509.24
Brazil,1997,19360377.0,Yes,19,246,3.44,166661659,5299.4,0.12,3653.31
Brunei Darussalam,1997,1447448.0,No,,,,305341,18857.99,4.74,76.76
Bulgaria,1997,5426053.0,Yes,4,47,1.79,8217102,1377.14,0.66,3940.09
Burkina Faso,1997,64262.0,No,,,,10934223,254.35,0.01,252.65
Burundi,1997,4255.0,No,,,,6070042,160.27,0.0,26.55
Cabo Verde,1997,115165.0,No,,,,432798,1296.37,0.27,88.84
Cameroon,1997,223948.0,No,,,,13775214,783.25,0.02,285.92
Canada,1997,88017560.0,Yes,11,196,1.78,30059089,21790.76,2.93,4039.21
Central African Republic,1997,1503.0,No,,,,3531700,277.81,0.0,5.41
Chile,1997,6039630.0,Yes,7,136,1.88,14932434,5741.33,0.4,1051.96
